"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1862","search for Automation","webkit","2026-05-29","passed","2026-05-29","paramertized test","example.spec.js","",""
"","0","soft","chromium","2026-05-29","skipped","2026-05-29","soft assertions","example.spec.js","",""
"","0","soft","webkit","2026-05-29","skipped","2026-05-29","soft assertions","example.spec.js","",""
"","1","soft","firefox","2026-05-29","skipped","2026-05-29","soft assertions","example.spec.js","",""
"","7741","search for Playwright","webkit","2026-05-29","passed","2026-05-29","paramertized test","example.spec.js","",""
"","1372","search for Testing","webkit","2026-05-29","passed","2026-05-29","paramertized test","example.spec.js","",""
"","2","search for fruits","firefox","2026-05-29","skipped","2026-05-29","jio mart test","example.spec.js","",""
"","1","search for fruits","chromium","2026-05-29","skipped","2026-05-29","jio mart test","example.spec.js","",""
"","0","profile","webkit","2026-05-29","skipped","2026-05-29","jio mart test","example.spec.js","",""
"","1892","polling assertions","chromium","2026-05-29","passed","2026-05-29","","example.spec.js","",""
"","919","search for Testing","firefox","2026-05-29","passed","2026-05-29","paramertized test","example.spec.js","",""
"","2072","polling assertions","webkit","2026-05-29","passed","2026-05-29","","example.spec.js","",""
"","931","search for Playwright","chromium","2026-05-29","passed","2026-05-29","paramertized test","example.spec.js","",""
"","2186","search for Playwright","firefox","2026-05-29","passed","2026-05-29","paramertized test","example.spec.js","",""
"","0","profile","chromium","2026-05-29","skipped","2026-05-29","jio mart test","example.spec.js","",""
"","709","search for Testing","chromium","2026-05-29","passed","2026-05-29","paramertized test","example.spec.js","",""
"","2054","polling assertions","firefox","2026-05-29","passed","2026-05-29","","example.spec.js","",""
"","0","profile","firefox","2026-05-29","skipped","2026-05-29","jio mart test","example.spec.js","",""
"","1835","search for Automation","firefox","2026-05-29","passed","2026-05-29","paramertized test","example.spec.js","",""
"","885","search for Automation","chromium","2026-05-29","passed","2026-05-29","paramertized test","example.spec.js","",""
"","2","search for fruits","webkit","2026-05-29","skipped","2026-05-29","jio mart test","example.spec.js","",""
